name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,selling_price
Mahindra,2010.0,168000.0,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,7,2200.0,572105.8625626274
Tata,2017.0,25000.0,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,260.0,5,2750.0,725403.631457071
Honda,2007.0,218463.0,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,172.0,5,4300.0,480519.9345032701
Honda,2015.0,173000.0,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200.0,5,1750.0,608432.9834405541
Tata,2011.0,70000.0,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,96.0,5,3000.0,77258.37065599626
Mahindra,2019.0,12584.0,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,247.0,6,2000.0,1017116.5229276867
Chevrolet,2011.0,35000.0,Petrol,Individual,Manual,First Owner,18.0,995,62.0,90.3,5,4200.0,71294.13232761528
Maruti,2012.0,70000.0,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,114.0,5,4000.0,347049.13455018855
Maruti,2011.0,72000.0,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,77364.54717026115
Hyundai,2016.0,58000.0,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,881707.7159126648
Hyundai,2018.0,49000.0,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,259.87,5,3000.0,1052565.204875366
Lexus,2019.0,20000.0,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,5200.0,2998727.7134400243
Honda,2017.0,24500.0,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200.0,5,1750.0,828091.2789646452
Hyundai,2009.0,110000.0,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,111.7,5,4000.0,188260.4675670045
Ford,2019.0,9500.0,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,4000.0,633978.5030341436
Jeep,2017.0,17000.0,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,347.0,5,4300.0,2520042.2439855775
Maruti,2014.0,25000.0,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,130.0,7,4000.0,572786.3549731858
Tata,2012.0,185000.0,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4,5,2500.0,107596.78871059162
Hyundai,2014.0,62200.0,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,11.4,5,4000.0,410091.7518674579
Hyundai,2011.0,35000.0,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,124.6,5,3500.0,435536.0897632848
Maruti,2011.0,70000.0,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,2000.0,352617.14139856363
Maruti,2010.0,180000.0,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,90.0,5,3500.0,106386.15860670828
Hyundai,2015.0,74000.0,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,835982.5523638562
Tata,2015.0,20000.0,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,51.0,4,4000.0,148020.44706640532
Maruti,2017.0,40000.0,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,651729.6884822494
Ford,2015.0,100581.0,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,215.0,5,3000.0,666680.350243879
Hyundai,2017.0,40000.0,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,259.87,5,3000.0,858305.8460436347
Mahindra,2015.0,140000.0,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,2800.0,926981.7528764376
Hyundai,2014.0,60000.0,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160.0,5,2750.0,398941.9719114981
Hyundai,2016.0,80000.0,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,219.66,5,2750.0,581144.8033827893
Mahindra,2019.0,5000.0,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,300.0,7,2500.0,994102.0694123707
Renault,2017.0,50000.0,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,245.0,5,1750.0,915659.5785675624
Toyota,2012.0,138000.0,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4,8,3400.0,652827.0980356119
Ford,2013.0,60000.0,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,146.0,5,3400.0,471351.594996118
Toyota,2012.0,150000.0,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,610455.9228823637
Honda,2013.0,120000.0,Petrol,Individual,Manual,Second Owner,18.0,1198,86.7,109.0,5,4500.0,265299.9551795663
Hyundai,2019.0,25000.0,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,99.0,5,4500.0,571447.1856208434
Tata,2012.0,90000.0,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190.0,5,3000.0,239116.03323549381
Chevrolet,2013.0,37000.0,Petrol,Dealer,Manual,First Owner,13.7,1399,98.79,131.0,7,4400.0,463521.92533922056
Skoda,2016.0,11000.0,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,3800.0,813991.0026491055
Maruti,2012.0,100000.0,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,190.0,5,2000.0,390140.21475315955
Tata,2014.0,45000.0,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,2500.0,308099.0150381618
Hyundai,2011.0,60000.0,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.7,5,4000.0,230721.7288132643
Hyundai,2014.0,76000.0,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,159.8,5,2750.0,348978.9749656038
Maruti,2017.0,110000.0,CNG,Individual,Manual,First Owner,26.6,998,58.16,77.0,5,3500.0,358127.99781263585
Mahindra,2012.0,135000.0,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,343888.8136571008
Skoda,2011.0,160000.0,Diesel,Individual,Manual,Third Owner,20.86,1199,75.0,180.0,5,2000.0,218653.51068190648
Hyundai,2010.0,94000.0,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.8,5,4000.0,175639.47604320175
Maruti,2019.0,5500.0,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,101.0,7,3000.0,672287.288088141
Honda,2019.0,5000.0,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,110.0,5,4800.0,606023.7431200782
Hyundai,2014.0,62000.0,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,4000.0,219920.55501140188
Hyundai,2010.0,80000.0,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,11.4,5,4000.0,146550.10829280177
Maruti,2019.0,30000.0,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,731667.0338012865
Maruti,2014.0,90000.0,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,200.0,7,1750.0,618189.0824541782
Maruti,2012.0,88000.0,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114.0,5,4000.0,402074.8940296249
Renault,2018.0,20000.0,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,4250.0,425372.206456942
Maruti,2012.0,40000.0,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,114.0,5,4000.0,421157.4333729936
Tata,2012.0,190000.0,Diesel,Individual,Manual,Third Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,164163.181654603
Hyundai,2012.0,120000.0,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5,4000.0,318339.21839186945
Tata,2011.0,120000.0,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,135.4,5,2500.0,162669.10901675117
Toyota,2017.0,25538.0,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,132.0,5,3000.0,960227.3836008329
BMW,2019.0,7500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,2500.0,3032375.917795351
Datsun,2017.0,25000.0,Petrol,Individual,Manual,First Owner,22.7,799,53.64,72.0,5,4386.0,235890.84801402688
Hyundai,2013.0,70000.0,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7,5,4000.0,381857.1719621201
Hyundai,2015.0,90000.0,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,219.66,5,2750.0,580024.216958079
Hyundai,2018.0,60000.0,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,219.7,5,2750.0,707764.8182478378
Maruti,2008.0,90000.0,Petrol,Individual,Manual,First Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,297464.69920352753
Ford,2014.0,48000.0,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,215.0,5,2500.0,613044.248895407
Maruti,2015.0,40000.0,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7,4000.0,543879.9023456175
Maruti,2018.0,20000.0,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,4000.0,641553.0298024309
Hyundai,2014.0,23000.0,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,111.8,5,4000.0,362203.3517134391
Hyundai,2002.0,184000.0,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,-78383.86376491771
